date,price,1,2,3,4,5,6,7,8,9,10,11,12,13
2011-04-20,0.9519879969992497,-0.020066939182598942,0.05255925618105206,0.17600908249015312,0.13664623647106278,0.1102889388843713,0.1351292520093187,-0.005056724563633708,-0.03936284601909035,-0.03430612145545664,0.02484031312494739,0.13035587806697024,0.15519619119191763,0.02484031312494739
2011-04-21,0.9983471074380166,0.017513658859473757,0.06908365587601717,0.212526672267763,0.17968697787626575,0.14172918748282815,0.16977943574133614,0.0019069448578539205,-0.032839694391497254,-0.034746639249351174,0.028050248258507993,0.12421552862335439,0.15226577688186238,0.028050248258507993
2011-04-22,0.9992978723404257,0.016191315327807376,0.04828645172620172,0.20255934045837343,0.17715088650425015,0.12909138549139598,0.15971534890377503,0.00991344775920766,-0.025408453954123278,-0.03532190171333094,0.03062396341237905,0.1129000701635886,0.14352403357596766,0.03062396341237905
2011-04-23,0.8540128205128205,-0.10618287224527256,-0.09774988215268554,0.05193195762843705,0.029807339124578003,-0.014651412399426578,0.013499310161266709,0.014560976896736855,-0.02212461850385905,-0.036685595400595905,0.028150722560693286,0.09153145984584599,0.11968218240653927,0.028150722560693286
2011-04-24,0.8359538461538462,-0.09196608253502447,-0.10855333203613526,0.02915119305967262,0.011552091610187776,-0.02959511182902763,-0.004265492311985364,0.019114599274359212,-0.017599101449484844,-0.036713700723844056,0.025329619517042268,0.06237097070599684,0.08770059022303911,0.025329619517042268
2011-04-25,0.8083230769230769,-0.09086386775055899,-0.12729786350466687,-0.002281226520746915,-0.016284357369404034,-0.05177579714933733,-0.029838438204333406,0.02287033354009338,-0.01400313084865712,-0.0368734643887505,0.021937358945003926,0.03908807060122166,0.061025429546225585,0.021937358945003926
2011-04-26,0.9204615384615384,0.03685170758319822,-0.011760101266904632,0.10118822802470762,0.09454316225382986,0.05461383920920504,0.0769903443777682,0.029221382491142367,-0.006645065770877756,-0.03586644826202012,0.022376505168563154,0.017762131626006816,0.04013863679456997,0.022376505168563154
2011-04-27,0.9743589743589743,0.09573692307692439,0.043494670211638664,0.14454730494778445,0.14582966146890042,0.09817686795362324,0.12244340730724301,0.036090561978322055,0.0012823565211159682,-0.03480820545720609,0.024266539353619776,0.002439944876698852,0.026706484230318628,0.024266539353619776
2011-04-28,0.853038669769201,-0.02538855136412499,-0.0662727871765103,0.017432726294515755,0.022366521201843237,-0.02093929981365894,0.001050644477255669,0.04054206264643334,0.004933794907327482,-0.03560826773910586,0.02198994429091461,0.004449251550466049,0.026439195841380658,0.02198994429091461
2011-04-29,0.9853441462688642,0.07703886511253477,0.0672315413462623,0.13505170967069713,0.15120610725922612,0.10075987414447651,0.12475250022684148,0.05248349102635608,0.01615439758852899,-0.03632909343782709,0.023992626082364965,0.023721009031941742,0.04771363511430671,0.023992626082364965
2011-04-30,0.87139291742902,-0.04952633182849797,-0.03866017953655887,0.012062945951873849,0.036500132918561135,-0.011935035200570487,0.010104415165307357,0.060093167556754756,0.024437186966687285,-0.03565598059006747,0.022039450365877844,0.037591296627927484,0.05963074699380533,0.022039450365877844
2011-05-01,0.7551515919380386,-0.13270566801477945,-0.13058195347754242,-0.10747535230753824,-0.07872321869588239,-0.11596908824473395,-0.09928936769484153,0.06497801757733379,0.02875213361165585,-0.03622588396567794,0.01667972054989242,0.0167365797700455,0.03341630031993792,0.01667972054989242
2011-05-02,0.796702095935104,-0.055623788332939905,-0.06877187183994482,-0.07038202305696784,-0.036078715250004834,-0.0673311000336031,-0.0540137757024266,0.06972824131421762,0.034303307806963,-0.03542493350725462,0.013317324331176494,-0.011707311700663192,0.0016100126305133022,0.013317324331176494
2011-05-03,0.8458735534185987,-0.005019307579324894,-0.01878648764702784,-0.02777314407385334,0.013662578127875302,-0.016430152783431073,-0.00452991059073915,0.07564425783713502,0.04143572220172864,-0.03420853563540638,0.011900242192691923,-0.01141084520410618,0.0004893969885857441,0.011900242192691923
2011-05-04,0.8480122006073746,0.024585728741748802,-0.01785367590360487,-0.03240647581846334,0.015890491065679524,-0.01293040982373539,-0.0022369883432339366,0.08129453821291888,0.04829696688414287,-0.03299757132877601,0.010693421480501453,-0.03751613856548419,-0.02682271708498274,0.010693421480501453
2011-05-05,0.8298150267974068,0.014704133058103697,-0.038200044701005686,-0.05699988706396375,-0.0022374860734868385,-0.028163051859064203,-0.019115829106757687,0.08673065693068527,0.05476240099047691,-0.03196825594020836,0.009047222752306516,-0.0428671849171679,-0.033819962164861384,0.009047222752306516
2011-05-06,0.8594423859899935,0.023473333440299338,-0.002470770261264521,-0.03375022331097688,0.027237694157159043,0.0013248494922346588,0.009833366852414982,0.09092714101412147,0.06098791746813592,-0.02993922354598555,0.008508517360180323,-0.02214848394806468,-0.013639966587884356,0.008508517360180323
2011-05-07,0.9064976035311605,0.048569449462255054,0.051370584362683824,0.008317817361671032,0.0738238540303614,0.04377244160164839,0.05321835313190204,0.09262945672110823,0.06550603666869037,-0.027123420052417857,0.009445911530253648,-0.004797007860606661,0.0046489036696469865,0.009445911530253648
2011-05-08,0.9624783742408506,0.08122925600749487,0.09640738462520904,0.059659453101727045,0.1292818818139696,0.09025290637692396,0.10215401905879784,0.0919281151150162,0.06962242871224256,-0.02230568640277364,0.011901112681873882,0.009023650369429093,0.020924763051302975,0.011901112681873882
2011-05-09,0.946083738922936,0.045220313026468006,0.0839387900418872,0.04176183186325866,0.11238559278029492,0.06682415000576936,0.08022652025990229,0.08798360807529304,0.07062376091703626,-0.01735984715825678,0.013402370254132934,0.02160383697930135,0.03500620723343428,0.013402370254132934
2011-05-10,0.9759457258732934,0.045856160161648174,0.1033454961478174,0.0684734079605025,0.1422809796147766,0.08747793343649468,0.10298602285750935,0.08541455895639527,0.0738075716542741,-0.011606987302121174,0.01550808942101467,0.04162177327484651,0.05712986269586118,0.01550808942101467
2011-05-11,0.9246686463915786,-0.018466171400383757,0.03511671122074844,0.01838776444130652,0.08822897837502841,0.0327531535781338,0.04837288250554406,0.0804390227933176,0.06984121393372189,-0.010597808859595714,0.015619728927410259,0.051219324978517555,0.06683905390592781,0.015619728927410259
2011-05-12,0.9852654010025441,0.026377023716304904,0.07685713532496996,0.0790911962189722,0.14729931427008602,0.08445944074251766,0.101939337933319,0.07607631033383921,0.06820811805111382,-0.007868192282725395,0.01747989719080134,0.05808241702621275,0.07556231421701409,0.01747989719080134
2011-05-13,0.9738577316745026,0.012693482901532938,0.05265104817133803,0.06747190329536845,0.13457659703706426,0.06609445985119222,0.08469091578085497,0.07257223384136613,0.06710469374169581,-0.0054675400996703205,0.018596455929662747,0.053400976949659285,0.07199743287932203,0.018596455929662747
2011-05-14,0.794007091799779,-0.13674182754855924,-0.12179908082262592,-0.10424571359134793,-0.04502129022624546,-0.10292225811652755,-0.08902038704456239,0.06462761447190868,0.059224423365102474,-0.005403191106806204,0.013901871071965166,0.03381956943203168,0.04772144050399685,0.013901871071965166
2011-05-15,0.7896984658684064,-0.10380100147895444,-0.12209605066109852,-0.10206275827748679,-0.0476868467050211,-0.09701841890048035,-0.08730778632224112,0.057891154818397794,0.054375911572465685,-0.0035152432459321092,0.009710632578239231,0.006782582578474083,0.016493215156713315,0.009710632578239231
2011-05-16,0.9040034924668259,0.014637055904415552,-0.012247134710362317,0.016016012919780165,0.06747614867768614,0.015640264107659063,0.025255482836276433,0.051083522188395625,0.05146013575790598,0.0003766135695103534,0.00961521872861737,0.0010032082032435108,0.01061842693186088,0.00961521872861737
2011-05-17,0.8147274975638988,-0.04053135831078236,-0.0923461190165632,-0.06587716699208579,-0.020199295113923377,-0.06662280405286114,-0.05989015644339313,0.041933066336965585,0.04567787187816241,0.0037448055411968273,0.006732647609468012,-0.026091445742078778,-0.019358798132610766,0.006732647609468012
2011-05-18,0.7780070169504423,-0.0380816959794269,-0.11061946390097877,-0.0995574154630472,-0.05502593285340607,-0.09350106707904882,-0.09037769272205454,0.03774178476455248,0.044531482609641126,0.006789697845088649,0.0031233743569942796,-0.05541937109962192,-0.05229599674262764,0.0031233743569942796
2011-05-19,0.7785221576906025,-0.03446956841743132,-0.09334816503758536,-0.09674500718435719,-0.052317752820586594,-0.08413012383042262,-0.08406496797562557,0.03423225589039247,0.044427254363770596,0.010194998473378125,6.515585479704988e-05,-0.0496605554129913,-0.04959539955819425,6.515585479704988e-05
2011-05-20,0.6317133088524165,-0.1496813858524193,-0.20573377217368372,-0.2364894652997167,-0.19549423933445276,-0.208944784795407,-0.21597873184020777,0.028799235354153963,0.04099522596526395,0.012195990611109986,-0.007033947044800759,-0.05926339894298771,-0.06629734598778847,-0.007033947044800759
2011-05-21,0.6930027815864606,-0.04619177094230209,-0.12127771295912781,-0.1661016422906696,-0.13226974896172783,-0.13359290138885171,-0.14470930689456274,0.019915556720149108,0.033831893328941764,0.013916336608792657,-0.011116405505711024,-0.08740113044654962,-0.09851753595226065,-0.011116405505711024
2011-05-22,0.7612014507749381,0.03271210760396759,-0.030672648747889886,-0.0893766721588306,-0.06195577609918157,-0.059166210086052606,-0.07157446752631547,0.010383226761288777,0.027420896059649036,0.01703766929836026,-0.01240825744026286,-0.0918783176900202,-0.10428657513028305,-0.01240825744026286
